id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
39127,SCEG,small_airport,"El Corte Airport",-33.709999,-70.913055,1024,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Talagante,0,SCEG,,,,https://en.wikipedia.org/wiki/El_Corte_Airport,,50,2024-05-18T21:52:59+00:00
39093,SCAM,small_airport,"Alempue Airport",-34.865002,-71.101944,1083,SA,Chile,CL,"Maule Region",CL-ML,ML,Teno,0,SCAM,,,,https://en.wikipedia.org/wiki/Alempue_Airport,,50,2024-05-18T21:44:52+00:00
39298,SCUN,small_airport,"Uni Frutti Airport",-34.813057,-71.046112,950,SA,Chile,CL,"Maule Region",CL-ML,ML,Teno,0,SCUN,,,,https://en.wikipedia.org/wiki/Uni_Frutti_Airport,,50,2024-05-18T22:31:53+00:00
39278,SCSH,small_airport,"El Budi Airport",-39.062778,-73.169998,82,SA,Chile,CL,"Araucanía Region",CL-AR,AR,"Teodoro Schmidt",0,SCSH,,,,https://en.wikipedia.org/wiki/El_Budi_Airport,,50,2024-05-18T22:26:29+00:00
39277,SCSA,small_airport,"Alberto Santos Dumont Airport",-33.02861,-70.879997,2346,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,"Til Til",0,SCSA,,,,https://en.wikipedia.org/wiki/Alberto_Santos_Dumont_Airport_(Chile),,50,2024-05-18T22:26:05+00:00
39288,SCTG,small_airport,"Tongoy Airport",-30.266388,-71.483612,49,SA,Chile,CL,"Coquimbo Region",CL-CO,CO,Tongoy,0,SCTG,,,,https://en.wikipedia.org/wiki/Tongoy_Airport,,50,2024-05-18T22:29:18+00:00
39291,SCTR,small_airport,"Traiguén Airport",-38.271389,-72.662498,812,SA,Chile,CL,"Araucanía Region",CL-AR,AR,Traiguen,0,SCTR,,,,https://en.wikipedia.org/wiki/Traigu%C3%A9n_Airport,,50,2024-05-18T22:29:57+00:00
39312,SCVK,small_airport,"El Alamo Airport",-34.847778,-72.022224,33,SA,Chile,CL,"Maule Region",CL-ML,ML,Vichuquen,0,SCVK,,,,https://en.wikipedia.org/wiki/El_Alamo_Airport,,50,2024-05-18T22:34:55+00:00
39314,SCVQ,small_airport,"Cuatro Pantanos Airport",-34.837223,-72.065002,82,SA,Chile,CL,"Maule Region",CL-ML,ML,Vichuquen,0,SCVQ,,,,https://en.wikipedia.org/wiki/Cuatro_Pantanos_Airport,,50,2024-05-18T22:35:22+00:00
39313,SCVO,small_airport,"María Ester Airport",-38.231945,-72.48333,978,SA,Chile,CL,"Araucanía Region",CL-AR,AR,Victoria,0,SCVO,,,,https://en.wikipedia.org/wiki/Mar%C3%ADa_Ester_Airport,,50,2024-05-18T22:35:10+00:00
32273,SCVN,small_airport,"Huancara Airport",-30.032615,-70.742083,1968,SA,Chile,CL,"Coquimbo Region",CL-CO,CO,Vicuña,0,SCVN,,,,https://en.wikipedia.org/wiki/Vicu%C3%B1a_Huancara_Airport,,50,2024-05-20T19:17:31+00:00
39305,SCVC,small_airport,"El Indio Airport",-29.834444,-70.046112,11975,SA,Chile,CL,"Coquimbo Region",CL-CO,CO,Vicuña,0,SCVC,,,,https://en.wikipedia.org/wiki/El_Indio_Airport,,50,2024-05-18T22:33:35+00:00
39317,SCVU,small_airport,"Agromanzún Airport",-38.695835,-72.340553,738,SA,Chile,CL,"Araucanía Region",CL-AR,AR,Vilcun,0,SCVU,,,,https://en.wikipedia.org/wiki/Vilc%C3%BAn_Agromanzun_Airport,,50,2024-05-18T22:36:07+00:00
39319,SCVY,small_airport,"Malla Airport",-38.691387,-72.285553,820,SA,Chile,CL,"Araucanía Region",CL-AR,AR,Vilcun,0,SCVY,,,,https://en.wikipedia.org/wiki/Vilc%C3%BAn_La_Malla_Airport,,50,2024-05-18T22:36:37+00:00
45066,SCNH,small_airport,"Ainhoa Airport",-38.683333,-72.243889,992,SA,Chile,CL,"Araucanía Region",CL-AR,AR,Vilcún,0,SCNH,,,,,,50,2009-10-16T21:48:37+00:00
45075,SCRV,small_airport,"La Verónica Airport",-38.611389,-72.128889,1280,SA,Chile,CL,"Araucanía Region",CL-AR,AR,Vilcún,0,SCRV,,,,,,50,2009-10-16T21:49:10+00:00
39213,SCMF,small_airport,"Malloco Airport",-39.255833,-72.34333,935,SA,Chile,CL,"Araucanía Region",CL-AR,AR,Villarrica,0,SCMF,,,,https://en.wikipedia.org/wiki/Malloco_Airport,,50,2024-05-18T22:13:56+00:00
